"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"lactosylceramide d18:1/24:1 15Z",1.6743,1.5475,1.263,1.1539,1.1417,1.1121,1.0929,1.0902
"TG 42:1",1.6705,1.2247,1.0668,1.0911,1.0743,1.0609,1.0395,1.0668
"5-HETE",1.666,1.4787,1.5043,1.5703,1.5163,1.5215,1.4953,1.4873
"8,15-DiHETE",1.6609,1.2542,1.2061,1.2369,1.2038,1.19,1.1633,1.1573
"Cer 18:1;2O/24:2",1.6383,1.1538,1.0404,1.098,1.061,1.0335,1.0204,1.0157
"TG 50:2",1.6382,1.6897,1.4873,1.4284,1.3788,1.3425,1.3526,1.3461
"Phosphatidylethanolamine alkenyl 18:0-18:2",1.628,1.1506,0.9824,0.89308,0.89654,0.91288,0.9101,0.91549
"TG 51:2 Isomer A",1.6267,1.4565,1.1886,1.2257,1.185,1.1547,1.1393,1.1397
"LPC 22:6",1.6184,1.4691,1.384,1.4498,1.4358,1.4383,1.4092,1.4018
"TG 53:3",1.6144,1.6616,1.3586,1.2595,1.2162,1.1887,1.1619,1.1555
"LPE O-16:1",1.614,1.171,0.96565,0.93119,0.9064,0.95035,0.97994,0.97469
"SM d43:1",1.604,1.6833,1.3867,1.2537,1.2119,1.1943,1.1813,1.1767
"Cer d42:3",1.5937,1.249,1.0886,1.1055,1.0684,1.0452,1.057,1.0525
"PC 30:6",1.5854,1.4552,1.2582,1.2154,1.2092,1.3165,1.287,1.2787
"PE P-38:4 or PE O-38:5",1.5823,1.125,0.92107,0.84661,0.88786,0.97125,0.95612,0.94982
"TG 52:4",1.5799,1.8001,1.4728,1.3359,1.2957,1.2671,1.2423,1.2467
"TG 51:3",1.5645,1.5562,1.3075,1.1878,1.1468,1.1226,1.1116,1.1047
"TG 56:2 Isomer B",1.5625,1.3599,1.1873,1.2448,1.2118,1.2215,1.2361,1.2523
"Cer 18:2;2O/22:0",1.5571,1.0954,0.97684,1.1747,1.1351,1.1079,1.098,1.0928
"Cer d34:2 Isomer B",1.544,1.1566,1.116,1.2176,1.2023,1.1742,1.148,1.1448
"PC P-36:1 or PC O-36:2 B",1.5174,1.4257,1.2411,1.161,1.124,1.1046,1.1148,1.1094
