"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"PC 40:5 Isomer B",0.67329,0.75802,0.62417,0.57746,0.78953,0.76768,0.75836,0.75648
"MG 20:4",0.66471,1.217,1.0374,0.9909,1.1452,1.2048,1.186,1.1809
"PC 16:0_22:6",0.66405,0.73425,0.64097,0.98965,0.95659,0.93401,0.91705,0.93079
"SM 44:1;2O",0.66348,0.51998,0.57072,0.52037,0.52935,0.51488,0.50352,0.50226
"PC 40:7 Isomer B",0.65838,0.67485,0.69975,0.88932,0.90404,0.87894,0.92475,0.93683
"acylcarnitine 08:0",0.65778,1.1045,1.9431,1.824,1.7827,1.7599,1.7402,1.7329
"TG 46:2",0.65776,0.57195,0.7411,0.72963,0.70758,0.69407,0.67847,0.67462
"acylcarnitine 14:1",0.65462,1.3313,1.1317,1.0963,1.0567,1.0384,1.0935,1.0872
"SM 34:0;3O",0.65456,0.69239,0.73704,0.67046,0.67602,0.65893,0.67004,0.66652
"PI 36:1 Isomer A",0.65448,0.49787,0.62827,0.69134,0.66753,0.67347,0.66645,0.66349
"PE 38:6 Isomer B",0.65307,0.53911,0.54586,0.55101,0.56508,0.5826,0.58438,0.59258
"SM d38:2",0.64927,0.48593,0.70063,0.76882,0.75056,0.75196,0.73503,0.73411
"PC 38:5 Isomer B",0.64782,0.51147,0.42018,0.75637,0.73371,0.78806,0.77101,0.77293
"SM d44:1",0.64754,0.60264,0.82841,0.76079,0.74276,0.72474,0.70899,0.70756
"Cer 20:0;2O/25:0",0.64703,1.4476,1.1764,1.1213,1.0978,1.0679,1.0613,1.0569
"TG 52:4;O2|TG 16:0_18:1_18:3;O2",0.64342,1.449,1.4208,1.4409,1.4008,1.3628,1.3322,1.33
"PE 16:1_18:1",0.63794,1.1341,1.1029,1.0025,1.0408,1.1285,1.1021,1.0968
"FA 14:1 (physeteric acid)",0.6361,0.67651,0.83054,0.75396,0.8487,0.84188,0.93673,0.95939
"TG 49:2",0.63518,1.0207,1.3093,1.1884,1.1453,1.1157,1.0954,1.0924
"TG 60:1",0.6327,0.64312,0.82425,0.86666,0.85449,0.83567,0.92745,0.92468
"PI 18:0_20:4",0.63043,0.46481,0.41921,0.70928,0.79621,0.78619,0.83483,0.83218
"SM 34:2;3O",0.62465,0.6455,0.81313,0.97543,1.0266,1.0133,0.99362,0.98951
"Cer 18:0;3O/24:0;(2OH)",0.62276,1.2006,0.98498,0.93074,0.92291,0.95839,0.96045,0.95495
"TG 42:0",0.62114,0.47725,0.5781,0.55807,0.60127,0.58494,0.58114,0.65527
"PC 32:2",0.61782,0.46515,1.1494,1.0475,1.0145,1.0058,0.99122,0.98867
"SM d41:1",0.61385,0.79026,0.70773,0.7018,0.68719,0.68346,0.67535,0.67196
"SM d38:1",0.59833,0.75897,0.91636,0.86701,0.83581,0.84541,0.86101,0.86062
"LPC 20:1",0.59719,0.44033,0.43985,0.5358,0.53749,0.63367,0.61967,0.62149
"PS 40:4",0.59522,0.47479,0.79092,0.72897,0.77954,0.8828,0.89473,0.89591
"PE 36:4",0.59396,0.95407,0.78738,0.71341,0.93433,1.0088,0.99237,0.99042
"FA 14:0 (myristic acid)",0.57966,0.42985,0.52774,0.51427,0.49565,0.55171,0.56161,0.57402
"SM d32:1",0.57877,0.83815,0.95669,0.88895,0.88795,0.86425,0.84414,0.84131
"SM d37:1 Isomer B",0.57219,0.53938,0.54077,0.73241,0.70667,0.70185,0.69308,0.68935
"SM 42:1;3O",0.57202,0.5031,0.86465,0.80835,0.80654,0.79147,0.77721,0.77462
"SM d35:2",0.57034,0.4795,0.85511,0.79024,0.78169,0.78679,0.79013,0.78599
"PI 32:1",0.56952,0.44617,1.0271,0.97264,0.97605,0.9489,0.93672,0.93137
"PI 34:2 Isomer B",0.56015,0.44431,0.61668,0.65242,0.63333,0.62424,0.62056,0.62
"SM d41:0",0.55818,0.7787,0.70891,0.68946,0.66731,0.67848,0.67947,0.67715
"PC 36:3 Isomer B",0.55784,0.51682,0.58567,0.60247,0.64218,0.64208,0.62767,0.6274
"PI 34:1 Isomer A",0.54075,0.40844,0.42692,0.61952,0.67367,0.66091,0.79807,0.79363
