"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"16,16-dimethylprostaglandin A1",1.695,1.4624,1.2366,1.3283,1.4776,1.4588,1.4437,1.439
"SM d33:1",1.6889,1.5365,1.3018,1.1721,1.0976,1.0754,1.0634,1.0582
"PEtOH 16:0_18:1",1.6834,1.192,2.1614,1.9229,1.8595,1.8762,1.8857,1.9244
"FA 18:3 (linolenic acid)",1.6787,1.4449,1.2396,1.1107,1.1781,1.1855,1.1716,1.1658
"PEtOH 16:1_16:1",1.6769,1.6207,1.5661,1.4966,1.4228,1.4112,1.3933,1.388
"SM d35:2",1.6649,1.457,1.2355,1.1145,1.0434,1.0229,1.0127,1.0077
"TG 28:0",1.658,1.1377,1.0643,0.95112,0.89089,0.87398,0.86428,0.86003
"C16 Lactosyl Ceramide (d18:1/16:0)",1.6465,1.1567,0.97794,0.89256,0.86819,0.87947,0.86917,0.86946
"SM d36:1",1.637,1.2704,1.0955,0.98773,0.92488,0.91075,0.90053,0.8961
"PS 16:0_22:4",1.6309,1.2124,1.0247,0.98333,1.0132,1.0274,1.0153,1.0161
"Cer d40:1",1.6268,1.1204,0.9636,0.85812,0.85599,0.84208,0.83694,0.83961
"SM d40:0 Isomer A",1.623,1.4378,1.2149,1.1073,1.0394,1.0203,1.0074,1.0024
"Cer d34:1",1.612,1.1059,1.2102,1.1158,1.0485,1.0464,1.0332,1.0281
"PC P-42:5 or PC O-42:6 Isomer A",1.6048,1.2839,1.1905,1.0878,1.1165,1.1002,1.1267,1.1291
"SM d40:1",1.6047,1.4285,1.2072,1.0993,1.0316,1.0134,1.0006,0.99562
"TG 47:3 Isomer B",1.6005,1.1036,1.011,0.93083,0.87307,0.88807,0.87725,0.87448
