"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"SM d40:4",0.3164,0.60795,0.52727,0.46194,0.51164,0.49865,0.49268,0.49211
"PC 40:5 Isomer B",0.31486,0.42922,0.59124,0.51798,0.49516,0.54585,0.60801,0.60795
"TG 45:1",0.30864,1.3047,1.1461,1.0112,1.0138,0.99837,0.98509,0.98097
"TG 48:2",0.30793,0.79697,1.0616,1.2831,1.2092,1.1785,1.1813,1.1738
"LPC 18:2",0.3038,0.96057,0.79982,1.2209,1.1834,1.158,1.1588,1.1541
"PC P-34:1 or PC O-34:2",0.29734,1.2902,1.0749,0.95634,0.91351,0.92573,0.93274,0.92816
"palmitoyl ethanolamide",0.29508,1.0317,1.1665,1.0422,0.98952,0.96527,0.96529,0.95915
"Cer d42:0",0.29064,0.31164,0.34128,0.33547,0.45768,0.57282,0.57247,0.59584
"SM 20:0;2O/22:3",0.28936,0.34949,0.53602,0.50788,0.48686,0.48962,0.50016,0.49744
"PC P-38:4 or PC O-38:5 Isomer A",0.28914,1.4642,1.2219,1.3203,1.279,1.296,1.2856,1.2773
"FA 19:1",0.28747,1.3902,1.2274,1.1232,1.0639,1.0447,1.0344,1.0276
"LPC P-16:0 or LPC O-16:1",0.28571,0.54034,0.45474,1.1653,1.098,1.1685,1.161,1.1535
"GlcCer d40:1",0.28444,0.96925,0.80354,0.89285,0.84376,0.82235,0.81404,0.82605
"TG 50:0",0.26418,0.72175,1.1214,1.4373,1.3594,1.344,1.3261,1.3227
"PE O-18:1_16:0",0.26334,0.40659,1.1016,1.7039,1.6392,1.6345,1.6464,1.6721
"TG 64:3",0.26058,1.3144,1.1007,1.2272,1.2248,1.2103,1.1968,1.1895
"PC P-38:3 or PC O-38:4 Isomer B",0.25699,1.1247,0.93653,0.86923,0.83912,0.85041,0.86791,0.86226
"PE 38:6 Isomer B",0.25373,0.99568,0.8265,0.72447,0.68244,0.69941,0.71459,0.71177
"PI 38:4",0.25061,1.0125,0.98201,1.0078,0.99979,1.0105,1.0013,1.0003
"CE_13-HODE",0.25034,1.0781,0.90844,0.83402,0.8357,0.83585,0.82623,0.82079
"PC 32:2",0.24913,0.87857,0.73664,0.93563,1.0327,1.0288,1.0309,1.0251
"TG 49:1",0.24791,0.87055,1.0154,1.1883,1.1226,1.0945,1.0805,1.0796
"SM d38:0 Isomer A",0.24187,0.98945,0.81926,0.71769,0.73572,0.73347,0.7246,0.71993
"TG 40:0",0.23435,1.7658,1.6865,1.4805,1.4386,1.4026,1.3879,1.3796
"SM 32:0;3O",0.2309,0.94841,0.80152,0.70571,0.72424,0.70591,0.70113,0.70897
"TG 42:0",0.22872,1.1002,1.1269,1.0046,0.96344,0.9396,0.93476,0.92871
"TG 53:3",0.22625,0.48987,0.99008,1.1168,1.0638,1.039,1.0251,1.0184
"Cer d34:2 Isomer A",0.22105,0.37831,0.67259,0.77068,0.7284,0.71158,0.70893,0.70788
"FA 16:1 (palmitoleic acid)",0.21963,1.1089,0.92075,0.80814,0.8395,0.83331,0.83073,0.83846
"Cer-NDS d40:0",0.21769,0.27282,0.46909,0.43968,0.4707,0.59474,0.58885,0.59636
"Cer d41:2",0.21745,0.15164,0.31541,0.34782,0.4625,0.4866,0.50675,0.50369
"TG 36:0",0.21261,1.6793,1.4352,1.2573,1.3224,1.2897,1.2761,1.2688
"SM d44:3",0.21115,0.43837,0.94858,0.94158,0.94924,0.95308,0.96442,0.97177
"TG 54:1",0.21102,0.64543,0.88805,0.92903,1.0884,1.0607,1.0467,1.0441
