"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"docosanamide",0.14691,0.3531,0.52616,0.50649,0.67434,0.67974,0.67391,0.67088
"TG 58:9",0.14684,0.61504,0.66475,0.65094,0.64795,0.67396,0.68716,0.69043
"Cer d34:2 Isomer A",0.14677,0.59187,0.66278,0.63746,0.66624,0.65838,0.65264,0.65428
"CE 18:1",0.14528,0.46713,0.45804,0.63647,0.62503,0.62098,0.61694,0.61418
"SM d41:2 Isomer B",0.14174,0.64269,0.62196,0.59858,0.58614,0.57782,0.61035,0.6082
"PC 34:4",0.14129,0.40343,0.84472,0.83408,0.81913,0.82499,0.82637,0.82953
"PC 38:6 Isomer A",0.14039,0.44536,0.41808,0.54319,0.59979,0.65717,0.65413,0.66979
"acylcarnitine 20:1",0.1402,0.51613,0.5714,0.54918,0.56161,0.57109,0.60296,0.60361
"acylcarnitine 10:1",0.13591,0.62626,0.62035,0.61529,0.81928,0.80728,0.80909,0.80596
"PC 38:5 Isomer B",0.13034,0.51427,0.50256,0.60943,0.63959,0.70915,0.70332,0.70386
"SM d40:2 Isomer B",0.12958,0.72227,0.71154,0.68806,0.68781,0.6782,0.69667,0.69527
"trihydroxyoctadec-15-enoic acid",0.12542,0.11339,0.13729,0.13551,0.55936,0.63128,0.62593,0.62471
"PE 34:2",0.11993,0.54431,0.5167,0.72094,0.70761,0.73102,0.73257,0.73029
"PC P-36:1 or PC O-36:2 A",0.11957,0.71646,0.74878,0.71938,0.73971,0.73465,0.72864,0.72667
"HexCer 18:1;2O/24:0",0.11867,0.10723,0.10735,0.11993,0.20442,0.248,0.24637,0.26355
"SM d41:1",0.11812,0.42399,0.39711,0.38185,0.37428,0.37645,0.41102,0.4181
"Cer d42:2 Isomer A",0.11773,0.31066,0.30279,0.30866,0.30308,0.41411,0.41879,0.42765
"PC 35:4",0.10919,0.21511,0.38558,0.40894,0.43623,0.44385,0.46204,0.46339
"PE 38:6 Isomer B",0.1062,0.23276,0.21971,0.35916,0.54901,0.54043,0.5371,0.53883
"PC 35:1",0.10557,0.3809,0.73221,0.71071,0.70377,0.70821,0.74552,0.74228
"TG 55:3",0.10469,0.17208,0.16444,0.44354,0.45193,0.46239,0.45843,0.45728
"FAHFA 18:0/20:2",0.095405,0.29885,0.37209,0.38333,0.3965,0.39215,0.39844,0.4364
"PC 33:2",0.095033,0.34975,0.51973,0.50546,0.49929,0.53666,0.54023,0.55699
"acylcarnitine 18:1",0.094965,0.4133,0.38989,0.3807,0.37992,0.43527,0.50214,0.51245
"TG 54:0",0.094078,0.96397,0.91891,0.90815,0.88925,0.92772,0.9195,0.9237
"PC 36:4 Isomer C",0.091629,0.60768,0.57331,0.56895,0.69291,0.73209,0.73092,0.73109
"PC 36:4 Isomer A",0.090739,0.63294,0.6183,0.60424,0.62017,0.63583,0.63076,0.65057
"FA 30:0",0.086803,0.088461,0.44322,0.52617,0.53283,0.5244,0.52213,0.52125
"SM d43:1 Isomer B",0.082011,0.48932,0.47106,0.45657,0.46153,0.47016,0.49062,0.48948
"TG 40:1",0.077194,0.59185,0.62675,0.63303,0.62295,0.64801,0.6519,0.65528
"PE 36:2",0.07397,0.62807,0.63805,0.92405,0.90424,0.89946,0.90179,0.89772
"TG 50:3 Isomer A",0.070044,0.35249,0.45537,0.73091,0.71523,0.7139,0.70864,0.72284
"PE O-18:1_22:6",0.068259,0.069556,0.18965,0.19158,0.2964,0.2956,0.29442,0.32557
"SM 42:0;3O",0.065261,0.31928,0.52242,0.58556,0.59251,0.69364,0.6875,0.68654
"TG 60:3",0.056952,0.36068,0.44684,0.49313,0.49171,0.48635,0.48305,0.50885
"SPB 26:0;2O",0.055722,0.44146,0.61031,0.58713,0.57438,0.5753,0.61546,0.61313
"SM d42:0",0.054371,0.54083,0.50647,0.50258,0.49529,0.51903,0.52818,0.52833
"Cer 22:0;2O/26:0",0.05331,0.35987,0.50687,0.491,0.50416,0.4979,0.49401,0.49408
"SM 32:0;3O",0.048617,0.14129,0.38328,0.37246,0.36487,0.42435,0.43576,0.43425
"FA 18:1 (oleic acid)",0.046834,0.13743,0.20524,0.26297,0.29749,0.2929,0.29043,0.28954
"SM 46:5;3O",0.044656,0.50783,0.49479,0.51446,0.62378,0.62502,0.64711,0.64952
"acylcarnitine 14:1",0.041146,0.27271,0.63118,0.61177,0.6285,0.62264,0.61733,0.61502
"PC O-30:0",0.039873,0.052887,0.51559,0.4976,0.53435,0.53631,0.57211,0.57559
"TG 51:3",0.039432,0.089252,0.13369,0.54524,0.54787,0.57119,0.56675,0.58709
"TG 51:2 Isomer A",0.037014,0.25011,0.44113,0.68659,0.67232,0.66448,0.65959,0.66348
"PS 36:2",0.036885,0.28021,0.28325,0.49697,0.6463,0.63837,0.63778,0.63902
"LPE 16:0",0.035662,0.26455,0.46495,0.57868,0.56701,0.60285,0.59751,0.59488
"LPE 18:0",0.034723,0.26824,0.25694,0.40418,0.39617,0.46303,0.46598,0.49899
"PC 40:1",0.027178,0.4545,0.46496,0.48296,0.67937,0.67494,0.68175,0.67884
"PC O-33:0",0.019295,0.087555,0.39994,0.38648,0.38923,0.41963,0.43044,0.43284
"PC 38:5 Isomer A",0.013381,0.64485,0.60378,0.65586,0.67531,0.75634,0.75372,0.76181
"FA 20:3 (homo-gamma-linolenic acid)",0.0055212,1.0374,0.99646,1.116,1.0929,1.0756,1.0672,1.0768
"TG 49:2",0.0017206,0.47526,0.44828,0.61218,0.61086,0.64672,0.64201,0.63928
