"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"SM d38:3",1.2687,1.3181,1.2892,1.1969,1.1775,1.1567,1.158,1.1542
"PE 36:3",1.2282,0.77294,0.7851,1.0163,1.0083,1.004,0.99651,0.99532
"TG 64:2",1.2133,0.70894,0.63459,0.77245,0.80698,0.86003,0.85858,0.85586
"TG 58:8",1.201,1.3693,1.5459,1.6841,1.6307,1.5941,1.597,1.5918
"Cer d34:1",1.1964,0.80843,0.87885,0.83071,0.84316,0.83362,0.82735,0.82495
"TG 28:0",1.1904,1.2587,1.2185,1.1647,1.1313,1.1533,1.1486,1.1498
"TG 10:0_12:0_18:2",1.1809,0.92902,1.0127,0.99094,1.0412,1.0197,1.0145,1.0129
"MG 20:4",1.1668,1.1958,1.5398,1.4281,1.3946,1.3713,1.3594,1.3562
"GlcCer d42:2",1.1645,1.465,1.2965,1.2207,1.182,1.178,1.1676,1.1661
"PE 36:4",1.1602,0.87929,1.1737,1.1991,1.2058,1.1905,1.1797,1.1802
"PC 29:0",1.1542,1.2196,1.0825,1.0394,1.1062,1.1299,1.1223,1.1205
"PE O-40:4",1.1509,0.77593,0.90308,0.93193,0.94599,0.93605,0.93007,0.9277
"LNAPE 18:2/N-20:0",1.1392,2.0193,1.821,1.7179,1.6647,1.6354,1.6206,1.6163
"PC 40:1",1.1383,0.82721,0.78365,0.76829,0.77848,0.80185,0.79861,0.79745
"Cer d33:1",1.1299,0.65356,0.87072,0.81363,0.78934,0.77562,0.76934,0.76695
"PE P-40:4 or PE O-40:5 Isomer A",1.1256,1.0472,1.2825,1.2296,1.222,1.1974,1.187,1.1882
"Cer d42:0",1.1153,0.83965,0.76566,0.73346,0.71644,0.76248,0.76242,0.76676
"TG 49:3",1.1147,1.559,1.3808,1.2921,1.2699,1.2616,1.2559,1.2529
"DG 34:1",1.1116,0.64624,0.61873,0.5785,0.56101,0.55227,0.54828,0.57165
"PE 38:6",1.0994,0.84552,1.1402,1.1263,1.142,1.117,1.1456,1.1468
"PC O-34:0",1.0973,1.1436,1.0235,1.0654,1.0587,1.043,1.0375,1.0346
"PE O-40:5 Isomer B",1.0802,0.80889,0.87732,1.0185,1.018,1.0208,1.0169,1.0202
"PC 24:0",1.0791,0.73091,0.64758,0.69204,0.86439,0.85674,0.85009,0.85048
"4-HDoHE",1.0791,1.4432,1.3216,1.6681,1.6193,1.5835,1.5745,1.5703
"Cer 18:1;2O_26:0;(2OH)",1.0785,0.68762,0.67958,0.63041,0.61828,0.8204,0.83601,0.83532
"FAHFA 38:4",1.0783,1.6978,1.5544,1.4446,1.4397,1.6418,1.6356,1.6303
"TG 50:4",1.0756,2.1549,1.9091,1.8042,1.7483,1.7091,1.6953,1.6945
"CE_13-HODE",1.0674,0.64774,0.89579,0.83908,0.82107,0.80444,0.80052,0.80199
"docosanamide",1.0661,1.1915,1.0655,0.99193,0.965,0.98042,0.99805,1.0057
"TG 56:7 Isomer A",1.0634,1.6224,1.6918,1.7632,1.7077,1.6786,1.6641,1.6587
"PC 38:4 Isomer B",1.0547,1.5518,1.4059,1.3116,1.2851,1.2561,1.245,1.2469
"LPE 22:6",1.0464,0.66609,0.70006,0.65019,0.81491,0.82803,0.82368,0.8218
"TG 51:4",1.0459,1.1686,1.082,1.2078,1.1753,1.1487,1.1389,1.1353
"SM 16:1;2O/16:0",1.0452,1.2489,1.2041,1.1885,1.1642,1.1534,1.1442,1.1418
"TG 52:4",1.0409,2.3828,2.1667,2.0584,1.9952,1.9513,1.9434,1.9378
"PC O-30:1",1.0397,0.60928,0.54562,0.51648,0.60387,0.63653,0.63164,0.63018
"PS 16:0_22:4",1.0302,0.8319,1.0138,0.99232,1.0837,1.0643,1.0628,1.0595
"TG 49:0",1.028,0.72486,0.7867,0.74523,0.78877,0.84584,0.83869,0.8366
"PC 14:0_16:1",1.0173,0.65337,0.62087,0.77896,0.8194,0.83777,0.83062,0.84035
"SM d41:2 Isomer A",1.0104,1.509,1.3413,1.2649,1.2295,1.2023,1.1914,1.1882
"PFAP-FT_diPAP",1.0078,0.99598,0.9165,1.0315,1.096,1.1692,1.2878,1.2836
"Phosphatidylethanolamine alkenyl 18:0-18:2",1.0039,0.69093,0.79645,0.81182,0.78828,0.77064,0.76388,0.76374
"SM 25:2;2O/15:1",0.99899,1.169,1.1232,1.043,1.0327,1.0151,1.0132,1.0099
"PC 28:0",0.99809,0.61294,0.66972,0.81354,0.87647,0.89076,0.94259,0.93961
"PC 32:1",0.99432,0.57979,0.61639,0.72241,0.82159,0.80935,0.80839,0.8164
"FA 18:1 (oleic acid)",0.99365,1.3362,1.2242,1.1389,1.1158,1.1777,1.178,1.1745
"TG 38:0",0.98265,1.0168,1.0593,1.0089,1.0861,1.0646,1.0621,1.0605
"TG 56:7 Isomer B",0.97713,1.6965,1.6638,1.692,1.6384,1.6076,1.6243,1.6193
"PC O-33:0",0.97191,1.1908,1.0599,1.0764,1.0564,1.0326,1.0232,1.0269
"N-docosanoyl-4-sphingenyl-1-O-phosphorylcholine",0.95882,0.73345,0.84706,0.78826,0.77304,0.78431,0.80693,0.8058
"PGE2",0.95393,0.93936,0.98713,0.97971,1.049,1.0254,1.0163,1.0147
"PC 32:0",0.94711,0.80882,0.75856,0.73237,0.76776,0.7738,0.77759,0.77536
"Cer 18:2;2O/22:0",0.94697,0.64663,0.58597,0.59914,0.69804,0.68292,0.67929,0.68053
"PE P-34:1 or PE O-34:2",0.93814,0.78013,0.92506,0.88603,0.8693,0.89576,0.89596,0.89973
"TG 42:2",0.93772,0.60097,0.74063,0.687,0.66992,0.65574,0.71154,0.70922
"LNAPE 18:2_N-19:0",0.93505,1.1119,0.99688,0.99364,0.97117,0.94953,0.94874,0.94823
"acylcarnitine 10:1",0.92882,0.8798,0.84936,0.78962,0.76791,0.75069,0.76116,0.77372
"PC 33:1",0.92,0.53547,0.54746,0.7831,0.80528,0.78871,0.78158,0.7798
"LPE 18:0",0.91693,1.3067,1.1561,1.1176,1.1121,1.0879,1.0783,1.0762
"TG 58:3",0.91561,0.96613,0.85637,1.1283,1.1297,1.1801,1.1719,1.1683
"FA 18:2 (linoleic acid)",0.91548,0.78953,0.71971,0.9571,0.94405,0.95089,0.99026,0.98945
"Cer 18:2;2O/24:1",0.91225,0.74566,0.72076,0.7159,0.7045,0.70897,0.74117,0.73968
"PC 16:0_18:2",0.91024,0.70927,0.72674,0.69471,0.68791,0.67314,0.67545,0.67456
"Cer 18:1;2O/24:2",0.90603,0.79058,0.70491,0.67719,0.71569,0.71233,0.74828,0.7519
"SPB 26:0;2O",0.88673,0.9036,0.81072,0.76797,0.74374,0.79795,0.80364,0.81186
"PC O-36:1",0.87893,0.56474,0.61026,0.95954,0.93729,0.94432,0.93678,0.93452
