"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"acylcarnitine 16:0",0.47109,1.5076,1.3498,1.2253,1.1788,1.1922,1.1671,1.1661
"SM 16:1;2O/16:0",0.47107,0.53833,0.48193,0.47849,0.5141,0.50352,0.49027,0.49343
"Cer d38:1",0.46724,0.84944,0.83055,0.75337,0.76942,0.78828,0.83286,0.86742
"LPE 18:1",0.46421,0.29028,0.37237,0.85283,0.81282,0.79885,0.77877,0.76831
"Cer-NDS d43:0",0.46127,1.0479,0.93972,0.86877,0.85292,0.83541,0.82353,0.81334
"PC P-34:0 or PC O-34:1",0.46035,0.33003,0.49696,0.48085,0.46475,0.48865,0.52791,0.52166
"LPC 20:0",0.45827,0.53304,0.82462,0.93564,0.94232,0.93293,0.91599,0.90664
"Cer 18:2;2O/23:0",0.45783,0.68623,0.80856,0.7414,0.79112,0.80448,0.7842,0.78929
"TG 50:0",0.44974,0.33917,0.34821,0.86487,0.88006,0.90162,0.89421,0.96938
"TG 54:6 Isomer B",0.44502,0.87898,0.90647,0.84894,0.88995,0.87832,0.85971,0.85809
"PEtOH 18:1_20:4",0.44493,0.29463,0.28447,0.66671,1.1424,1.1538,1.3744,1.3817
"Cer d34:1",0.44466,0.7438,0.67734,0.91335,0.87947,0.95639,0.94328,0.93058
"TG 52:3",0.44311,0.93941,0.93425,0.99251,1.2331,1.2092,1.2236,1.2174
"PI 38:4",0.44262,0.89086,1.0168,1.0661,1.017,1.0262,1.081,1.0688
"TG 34:0",0.44208,1.372,1.2505,1.2262,1.2586,1.2573,1.2256,1.2126
"TG 40:0",0.43843,1.6793,1.6325,1.485,1.4152,1.4044,1.3691,1.3527
"PS 16:0_22:4",0.43314,0.86969,1.4934,1.3555,1.2918,1.2885,1.2549,1.2388
"palmitoyl ethanolamide",0.42876,0.795,0.79347,0.81383,0.82042,0.81828,0.79905,0.82363
"PFAP-FT_diPAP",0.42851,1.7096,1.9081,2.7788,2.8549,2.9755,2.9232,2.8861
"LPE 20:4",0.42696,0.36454,0.86519,1.25,1.2556,1.2316,1.2174,1.2016
"C16 Lactosyl Ceramide (d18:1/16:0)",0.42643,1.2728,1.145,1.0444,1.0033,0.98535,1.0446,1.0312
"SM d44:2",0.42631,0.3814,0.34257,0.31705,0.3025,0.35004,0.46467,0.45847
"TG 48:1",0.42311,0.34429,0.46976,0.73116,0.84237,0.83385,0.82999,0.82048
"TG 50:2",0.41892,0.7437,0.74041,0.89829,1.0994,1.0807,1.0852,1.0761
"PEtOH 16:1_18:1",0.41802,0.2826,0.44223,1.0768,1.3634,1.3749,1.5901,1.6315
"LPC 18:0",0.41715,1.5569,1.5167,1.4299,1.411,1.3821,1.3704,1.3553
"PI 16:0_16:0",0.41677,0.93597,0.86677,0.81133,0.80871,0.82001,0.89685,0.90096
"PC 33:0",0.41416,0.8914,0.80686,0.73367,0.78498,0.7698,0.76869,0.78802
"Cer d42:1",0.40708,1.1138,0.99696,0.90487,0.86359,0.88346,0.88468,0.87322
"PC P-40:5 or PC O-40:6",0.40562,1.0373,0.96273,0.8982,0.8643,0.85867,0.84125,0.85457
"PI 18:0_20:4",0.4024,0.4285,0.811,0.91108,0.88941,0.89576,0.94715,0.93519
"TG 44:2",0.39694,1.7679,1.6355,1.4927,1.4488,1.4225,1.3869,1.3742
"PC O-30:1",0.39385,0.24026,0.52253,0.59358,0.78819,0.77237,0.75226,0.75376
"PC 30:0",0.39214,0.27953,0.31064,0.28206,0.27519,0.29084,0.35875,0.35585
"OxPC 36:3+1O",0.39107,0.62967,0.64291,0.63879,0.63552,0.62984,0.62384,0.64638
"PC 14:0_16:1",0.38487,0.43251,0.41695,0.555,0.72934,0.71977,0.715,0.70647
"PC 40:7 Isomer B",0.38322,1.0023,1.3176,1.1965,1.1773,1.2184,1.2114,1.2038
"SM d44:3",0.37227,0.3023,0.30705,0.42402,0.40933,0.41751,0.44359,0.44282
"PC 38:2",0.372,0.22664,0.44258,0.40331,0.43121,0.42281,0.43684,0.43917
"PE 38:4",0.36425,0.38578,1.5022,1.4143,1.3478,1.3217,1.2892,1.2769
"TG 48:2",0.35995,0.53284,0.7755,0.8667,0.87233,0.85453,0.85421,0.85414
"PC O-18:0_16:0",0.35159,0.23074,0.30167,0.28885,0.29195,0.44722,0.43629,0.43821
"Cer 18:1;2O/26:0",0.34953,0.38186,0.34594,0.49826,0.48183,0.52503,0.51601,0.53983
"TG 50:3 Isomer A",0.3455,0.40266,0.64326,0.80466,0.97616,0.96406,1.0095,0.99788
"SM d38:3",0.33527,0.6738,0.6336,0.60777,0.5829,0.5781,0.61273,0.62059
"Cer d44:1",0.33503,0.94989,0.85408,0.77608,0.74473,0.73872,0.728,0.72038
"PEtOH 16:0_20:4",0.33142,1.2849,1.1712,1.4073,1.3413,1.3141,1.2801,1.3802
"SM 32:0;3O",0.33103,0.41557,0.55197,0.50292,0.56974,0.57077,0.59643,0.64267
"TG 52:2",0.32837,1.103,1.0234,1.0944,1.3245,1.318,1.2942,1.2899
"TG 42:2",0.32607,0.93217,0.92082,0.85876,0.82344,0.80662,0.84573,1.003
"PI 34:2 Isomer B",0.32318,0.21073,0.19003,0.25811,0.30219,0.48268,0.47018,0.47039
"SM 42:1;3O",0.32151,0.76292,0.74437,0.67617,0.6843,0.6757,0.66927,0.66077
"SM d32:2",0.32064,0.23554,0.47204,0.48041,0.6028,0.60496,0.59039,0.59816
"PC P-34:1 or PC O-34:2 Isomer A",0.31943,0.44921,0.56608,0.58045,0.6246,0.6224,0.62286,0.65824
"PI 36:4",0.31016,0.73983,1.2917,1.3668,1.309,1.2848,1.358,1.3397
"CE 18:2",0.30963,0.46141,0.54882,0.97218,0.93721,0.92046,0.9083,0.89779
"PA 18:1_18:1",0.29423,0.271,0.37145,0.37296,0.36078,0.3539,0.34464,0.35609
"TG 54:7 Isomer A",0.29262,1.161,1.1173,1.0675,1.1653,1.1423,1.1132,1.1199
"PC 34:1",0.29156,1.0634,0.95962,0.93378,0.8952,0.8768,0.86726,0.87892
"PC 24:0",0.28861,0.65225,0.84386,1.0002,1.0676,1.0805,1.066,1.0573
"SM 44:1;2O",0.28321,0.18918,0.18151,0.25127,0.26334,0.30356,0.39927,0.42791
"PC 16:0_18:2",0.27998,0.56252,0.61784,0.58442,0.6972,0.68285,0.66512,0.65876
"PE 38:6 Isomer B",0.27819,0.46663,0.90492,0.84435,0.80543,0.79515,0.77595,0.78158
"TG 46:2",0.2749,1.7327,1.579,1.436,1.3687,1.363,1.3577,1.3397
"LPE O-18:1",0.26224,0.30199,0.37871,0.7587,0.74695,0.84075,0.83324,0.83721
"TG 48:3",0.26065,0.84168,0.9224,0.94265,0.89837,0.9436,0.98629,0.99907
