"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"PC 36:1",0.61241,0.48364,0.55677,0.59969,0.62617,0.63059,0.62753,0.63288
"SM 42:5;3O",0.61085,0.50579,0.46212,0.65637,0.63629,0.63436,0.62757,0.62945
"Cer 20:0;2O/25:0",0.60511,0.50622,0.48754,0.79802,0.81305,0.81085,0.80117,0.8035
"FA 15:1",0.5947,0.49758,0.53336,0.80422,0.77961,0.78085,0.80279,0.80521
"TG 42:2",0.58879,0.5897,0.84656,0.77976,0.76451,0.78499,0.77676,0.82356
"PC 40:1",0.58272,0.46718,0.71566,0.66592,0.80055,0.79289,0.78444,0.7845
"PI 36:1 Isomer A",0.5797,0.83809,0.75018,0.71906,0.78851,0.77975,0.77248,0.77163
"PC 33:3",0.57457,0.49251,0.43933,0.43476,0.46994,0.46394,0.52967,0.53048
"TG 54:6 Isomer B",0.57423,0.50072,0.59352,0.54721,0.82143,0.8172,0.8149,0.81115
"FA 18:1 (oleic acid)",0.56971,0.45915,0.54532,0.50238,0.48837,0.49935,0.50025,0.522
"Cer d41:2",0.56287,0.67209,0.80749,0.79587,0.77208,0.76653,0.8038,0.81219
"SHexCer d34:1",0.55863,0.72438,0.69066,0.66379,0.79116,0.78402,0.77681,0.77333
"Cer d40:1",0.55792,0.71629,0.65832,0.61732,0.59871,0.62992,0.64423,0.64353
"FA 22:0 (behenic acid)",0.5524,0.6126,0.55734,0.89692,0.88153,0.87117,0.86075,0.85709
"LPC P-18:0 or LPC O-18:1",0.55201,0.83254,0.8871,0.82598,0.80402,0.86472,0.91727,0.91334
"Cer 18:0;3O/16:0;(2OH)",0.53937,0.44501,0.41281,0.76629,0.83149,0.82192,0.81216,0.82167
"SM d42:0",0.53725,0.88532,1.0237,0.96857,0.97134,0.96346,0.97379,0.96927
"SM d44:2 isomer A",0.5371,0.51194,0.6402,0.69303,0.82307,0.81584,0.82498,0.82114
"TG 28:0",0.53478,0.89168,1.0752,1.0744,1.0565,1.0481,1.0373,1.0396
"Cer 18:0;2O/24:0",0.53348,0.76187,0.73812,0.6792,0.6862,0.6832,0.68558,0.68236
"1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)",0.52843,0.99338,0.88184,0.81339,0.7988,0.80079,0.79309,0.79563
"PC P-44:4 or PC O-44:5",0.52546,0.54381,0.51114,0.60291,0.59701,0.61456,0.60722,0.62692
"PC O-18:0_16:0",0.52052,0.45138,0.45832,0.45903,0.50432,0.50401,0.51676,0.5167
"TG 22:0",0.50818,0.6345,0.59143,1.1376,1.1107,1.1111,1.1066,1.1257
"SM d36:2",0.50811,0.44719,0.4517,0.47008,0.6039,0.60292,0.66144,0.65847
"PI 18:0_20:4",0.50447,0.40353,0.49665,0.57722,0.5599,0.63885,0.6324,0.62944
"PI 34:1 Isomer A",0.50438,0.47924,0.50494,0.55522,0.53846,0.5315,0.55719,0.57665
"8,15-DiHETE",0.50375,1.0782,1.1701,1.1003,1.0867,1.0793,1.0934,1.097
"LPC 20:3",0.49757,0.53461,1.3932,1.4882,1.4482,1.4303,1.4162,1.4119
"PI 38:4",0.49593,0.55465,0.7591,0.76606,0.79043,0.80142,0.79708,0.8009
"TG 38:0",0.49485,0.48442,0.78209,1.034,1.0181,1.062,1.0496,1.053
"Cer 20:0;3O/24:0;(2OH)",0.48719,0.40618,0.40241,0.5987,0.63033,0.62958,0.68792,0.68788
"SM d44:1",0.48229,0.39655,0.53055,0.48986,0.53624,0.54752,0.56623,0.56834
"LPC P-16:0 or LPC O-16:1",0.47915,0.66151,1.1993,1.1744,1.1823,1.1873,1.1733,1.1678
"TG 40:0",0.47861,0.4107,1.0611,0.99233,0.96561,1.0495,1.037,1.0429
"SM d42:3",0.47516,0.48727,0.50841,0.70221,0.68077,0.69173,0.68491,0.6907
"SM 42:2;3O",0.4745,0.82076,0.7463,0.70149,0.68199,0.67485,0.71849,0.71785
"Cer 18:0;3O/24:0;(2OH)",0.47227,0.61111,0.87238,0.8055,1.0402,1.0388,1.0279,1.037
"OxPC 36:3+1O",0.4667,0.93933,0.84415,0.78433,0.84727,0.83653,0.83219,0.82893
"PE O-38:6 Isomer A",0.46482,0.59759,0.89886,0.93469,0.91704,0.9074,0.89736,0.89543
"TG 54:0",0.46404,0.67367,0.69492,0.86602,0.85124,0.86995,0.87941,0.8766
"PC P-34:0 or PC O-34:1",0.45981,0.37111,0.45882,0.43144,0.42616,0.46944,0.51504,0.52742
"TG 56:6",0.45924,0.487,0.539,0.63099,0.84005,0.83193,0.82301,0.82067
"PC 42:2",0.45607,1.3215,1.1743,1.2724,1.2572,1.2413,1.2265,1.2255
"SM d43:1",0.45531,0.46456,0.63326,0.59138,0.57594,0.57284,0.61221,0.60933
"Cholesterol",0.45083,1.1122,1.0031,1.1067,1.0731,1.0633,1.0506,1.0505
"FA 20:2 (eicosadienoic acid)",0.44532,0.51973,0.70548,0.77259,0.80575,0.81358,0.80391,0.80656
"cis-13-docosenoic acid",0.44456,0.36742,0.37723,0.63938,0.66258,0.65401,0.65654,0.65415
