"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"SM d41:1",0.32225,0.24581,0.23776,0.28266,0.36521,0.39851,0.39708,0.39562
"cis-13-docosenoic acid",0.31901,0.19169,0.3164,0.32381,0.32422,0.35223,0.40954,0.42761
"PC 19:1",0.31677,0.20008,0.18844,0.18547,0.95697,0.94704,0.95224,0.95875
"PC 31:1",0.31324,0.41722,0.47045,0.58336,0.67444,0.67593,0.67141,0.67239
"Cer d44:1",0.31219,0.51109,0.43658,0.41444,0.40268,0.47735,0.47863,0.47623
"SM d36:1",0.30368,0.25661,0.23862,0.27547,0.53076,0.52236,0.5299,0.52859
"TG 64:3",0.29797,0.75345,0.63986,0.66899,0.65239,0.63857,0.63729,0.65784
"TG 34:0",0.29158,0.81943,0.71604,0.679,0.93833,0.91996,0.91444,0.92293
"GlcCer d42:1",0.29138,0.2073,0.33574,0.40874,0.58642,0.57596,0.57875,0.57655
"TG 47:0|TG 14:0_16:0_17:0",0.28705,0.45101,0.39576,0.37512,0.52305,0.60419,0.5984,0.60128
"PI 18:0_20:4",0.27913,0.2483,1.2006,1.1382,1.1012,1.0796,1.0726,1.0673
"LPC P-18:0 or LPC O-18:1",0.27287,1.0355,1.0183,0.99239,0.95312,1.0101,1.0039,1.0049
"HexCer 18:1;2O/24:0",0.27262,0.41751,0.39036,0.43875,0.42776,0.44131,0.46493,0.47319
"PC P-34:1 or PC O-34:2 Isomer A",0.27228,1.0208,1.096,1.0388,0.99396,0.99012,0.98024,0.98306
"Hex3Cer 18:1;2O/16:0",0.27062,0.51971,0.44889,0.43215,0.58401,0.57432,0.61021,0.60779
"PS 36:1",0.26922,0.63252,0.90077,0.93955,0.89972,0.89037,0.88403,0.87972
"acylcarnitine 18:0 Isomer A",0.26636,0.70134,1.0235,1.1021,1.0567,1.0381,1.0329,1.0282
"Cer d43:2",0.26569,0.43672,0.49715,0.50609,0.49773,0.51892,0.51863,0.51813
"SM d41:0",0.26547,0.34901,0.3248,0.36228,0.41408,0.44815,0.44899,0.44833
"PE P-36:1 or PE O-36:2",0.26306,1.1856,1.3702,1.3344,1.2748,1.2717,1.2589,1.2648
"Cer-NDS d43:0",0.26292,0.78074,0.70795,0.67358,0.66648,0.66489,0.67322,0.67063
"C16 Lactosyl Ceramide (d18:1/16:0)",0.26165,0.15876,0.27043,0.37156,0.4164,0.5083,0.50386,0.50147
"Cer d42:3",0.2611,0.45094,0.47413,0.47393,0.47514,0.58783,0.62343,0.64639
"LPC 18:2",0.25775,0.33061,0.28308,0.27005,0.28706,0.29236,0.5407,0.56018
"PC P-44:4 or PC O-44:5",0.25498,0.86364,1.0188,0.9658,0.93454,0.9174,0.9192,0.91457
"TG 47:3 Isomer B",0.25319,0.60403,0.73707,0.79978,0.76453,0.77331,0.8021,0.79921
"SM d36:0 Isomer B",0.2487,0.33482,0.29076,0.33113,0.33301,0.3269,0.33829,0.337
"PC P-42:2 or PC O-42:3",0.24688,0.21009,0.4535,0.54373,0.52209,0.53601,0.55156,0.55229
"Cer-NDS d39:0",0.24236,0.43227,0.42632,0.40466,0.44113,0.81372,0.89781,0.89468
"SM d41:2 Isomer B",0.24056,0.58362,0.51233,0.50914,0.67715,0.67708,0.66983,0.66641
"PC 38:5 Isomer B",0.24028,0.9862,1.206,1.1712,1.1251,1.1126,1.1122,1.1074
"TG 43:0",0.23779,1.0811,0.96454,1.0503,1.0048,1.0858,1.0803,1.0776
"SM d36:0 Isomer A",0.23635,0.14439,0.20418,0.227,0.50466,0.50287,0.51923,0.51804
"TG 54:7 Isomer A",0.23276,1.9109,1.666,1.714,1.6373,1.6057,1.6143,1.6065
"Cer d42:2 Isomer A",0.23049,0.4548,0.55474,0.56457,0.58474,0.71044,0.70416,0.7114
"Cer d38:1",0.23033,0.16938,0.55584,0.5659,0.56079,0.5837,0.58292,0.57994
"PC 36:4 Isomer B",0.22938,0.34277,1.1198,1.1171,1.0814,1.0586,1.0471,1.0436
"SM d34:0",0.22827,0.35802,0.4412,0.45244,0.46417,0.45807,0.49018,0.50956
"TG 58:9",0.22621,1.8335,1.7235,1.6941,1.6292,1.6073,1.6041,1.5963
"PC P-40:5 or PC O-40:6",0.22564,0.22247,1.1752,1.1398,1.1234,1.1213,1.1091,1.1035
"SHexCer 34:1;3O",0.22258,0.20776,0.17843,0.30308,0.4512,0.45624,0.46988,0.47014
"LPC 20:3",0.22131,0.28685,0.38947,0.51829,0.49679,0.50743,0.61051,0.61032
"PC 36:4 Isomer A",0.2196,0.43044,0.53735,0.51229,0.50228,0.54503,0.60157,0.61867
"GlcCer d40:1",0.21951,0.29198,0.52855,0.55157,0.64773,0.63517,0.62828,0.63088
"SM d42:1",0.21853,0.52352,0.53365,0.73413,0.70287,0.79768,0.8041,0.80284
"SM d42:2 Isomer B",0.20922,0.17743,0.15425,0.27628,0.33214,0.44785,0.44383,0.4418
"TG 54:0",0.20195,0.51081,0.60866,0.59942,0.965,0.99059,0.9921,0.98729
"SM 34:0;3O",0.19818,0.53486,0.67809,0.75074,0.72477,0.70959,0.75355,0.75864
"TG 44:2",0.19669,0.47324,0.83819,0.84968,0.955,0.93753,0.9319,0.93553
"LPC 16:1",0.19657,1.2893,1.1864,1.1549,1.1171,1.0934,1.1307,1.1263
"LPC p-18:0",0.19229,0.89541,1.1072,1.0531,1.0127,1.0126,1.0033,1.0053
"PC 35:3",0.18996,0.46049,0.70254,0.66584,0.64533,0.63185,0.62579,0.62664
"PC P-40:4 or PC O-40:5",0.18818,0.24583,1.2462,1.1895,1.1393,1.1315,1.1204,1.1173
"LPC O-22:0",0.1877,0.53721,0.58885,0.55911,0.61218,0.67395,0.67066,0.67793
"SM 44:1;2O",0.18764,0.25749,0.50873,0.65639,0.63057,0.68709,0.6865,0.68299
"LPC O-24:0",0.18196,0.53017,0.4644,0.50328,0.56587,0.59027,0.60189,0.60063
"SM 20:3;2O/24:0",0.18184,0.51043,0.44412,0.46901,0.51564,0.64758,0.64836,0.6638
"SM 42:2;3O",0.18054,0.74965,0.72336,0.72926,0.78182,0.77695,0.77478,0.77096
"acylcarnitine 08:0",0.17939,0.4951,0.46553,0.62588,0.65292,0.65173,0.65511,0.65631
"Cer 20:0;2O/24:0",0.17212,0.39121,0.4085,0.46227,0.45071,0.46803,0.46342,0.46977
"Cer d46:2",0.16891,1.1948,1.0193,0.97752,0.93551,0.91703,0.91671,0.91203
"SM d30:1",0.16865,0.49143,0.6626,0.64307,0.69699,0.68883,0.68134,0.67792
"TG 47:2",0.16541,0.63117,0.54431,0.57352,0.56437,0.56391,0.55809,0.581
"PC 36:4 Isomer C",0.16528,0.29077,1.3892,1.3309,1.2789,1.2599,1.2465,1.2411
"SM 30:2;2O (FA 14:0)",0.16412,0.70373,0.59764,0.81851,0.78783,0.79924,0.81904,0.82452
"PC 34:4",0.16157,0.2355,0.6132,0.59237,0.63437,0.62799,0.64049,0.6373
"16,16-dimethylprostaglandin A1",0.1589,1.3315,1.2554,1.2019,1.1764,1.1592,1.1569,1.1511
"LPC 20:1",0.15387,0.42385,0.53008,0.60493,0.57781,0.74064,0.73298,0.738
"GlcCer d41:1",0.15366,0.94271,0.93574,0.92472,0.99045,0.98385,0.97323,0.97661
"LPE 18:1",0.15112,1.9275,1.6588,1.5721,1.5013,1.5039,1.5069,1.5
"Cer d43:1",0.14825,0.10084,0.3253,0.32191,0.35976,0.35534,0.36671,0.36548
"LPC 15:0",0.14309,0.46994,0.64679,0.61787,0.59753,0.58487,0.59283,0.61331
"SM 12:1;2O/32:8",0.13431,1.1603,1.0521,0.99705,0.95728,0.98461,0.97409,0.9693
"acylcarnitine 16:0",0.12857,0.29571,0.66614,0.67447,0.65539,0.64174,0.66512,0.66176
"SM d33:1",0.12657,0.081927,0.17518,0.32996,0.44962,0.44053,0.44657,0.44508
"FA 20:2 (eicosadienoic acid)",0.12284,1.54,1.349,1.32,1.265,1.2382,1.2385,1.2322
"SM d38:0 Isomer B",0.12147,0.32265,0.27479,0.27846,0.32226,0.33699,0.33844,0.34149
"PC 19:2",0.11575,0.26402,0.24266,0.28924,0.67122,0.6759,0.7102,0.7143
"PE 36:1",0.11431,1.0438,1.2198,1.3295,1.2705,1.2568,1.245,1.2477
"PC 40:5 Isomer A",0.11008,0.097234,1.044,1.0392,0.99671,0.97566,0.97168,0.97213
"SM d42:3",0.10668,0.069891,0.2624,0.3154,0.47677,0.58979,0.59737,0.60388
"Cer d41:2",0.10379,0.69258,0.59683,0.6483,0.68141,0.66826,0.6688,0.66547
"SM d40:4",0.10284,0.25019,0.21607,0.23797,0.49475,0.48687,0.48581,0.48983
"SM d40:2 Isomer B",0.1014,0.4583,0.40831,0.44989,0.61614,0.63607,0.6299,0.62916
"PC 30:6",0.098143,0.46858,0.41499,0.43976,0.69328,0.68279,0.73722,0.74798
"LPC O-16:0",0.093545,1.2609,1.1659,1.1354,1.1133,1.0921,1.0833,1.0817
"SM d31:1",0.093308,0.48548,0.47149,0.44696,0.59824,0.6237,0.62432,0.62952
"SM 18:0;2O/21:0",0.075498,0.77646,0.66202,0.63387,0.71937,0.70656,0.69897,0.69778
"FA 17:0 (margaric acid)",0.072761,0.79834,0.75292,0.73489,0.70313,0.69073,0.68467,0.68603
"PC 36:5 Isomer D",0.067643,0.62432,0.98236,1.1444,1.1627,1.14,1.1368,1.1311
"TG 44:1",0.064405,1.3497,1.4226,1.3491,1.414,1.398,1.4014,1.3947
"SM d40:1 Isomer B",0.062038,0.12857,0.12384,0.2365,0.3394,0.34399,0.3436,0.35278
"LPC 17:0",0.061617,0.38247,0.69641,0.6717,0.65944,0.67713,0.67962,0.69003
"acylcarnitine 18:2 Isomer A",0.058326,0.14916,0.23197,0.32325,0.31034,0.33703,0.63059,0.62946
"PC 36:1",0.05783,0.5159,0.47035,0.66064,0.67005,0.65975,0.688,0.68935
"SM 32:0;3O",0.046918,0.11144,0.2754,0.34584,0.41893,0.41116,0.40756,0.40689
"TG 51:0",0.042166,0.84821,0.99713,1.0218,1.1187,1.1278,1.1155,1.1101
"SM d34:2",0.035604,0.061854,0.28992,0.38298,0.51151,0.53542,0.55151,0.55131
"SM d39:1",0.035205,0.86892,0.7382,0.70051,0.79077,0.77433,0.76871,0.76551
